pid, username, timestamp, type, data
1121, "rstudio", 1573967275000, session_start, ""
981, "rstudio", 1573967297000, auth_logout, ""
981, "rstudio", 1573967322000, auth_login, ""
981, "rstudio", 1573967331000, auth_logout, ""
981, "rstudio", 1573967341000, auth_login, ""
1264, "rstudio", 1573967365000, session_start, ""
1264, "rstudio", 1573967447000, session_quit, ""
1264, "rstudio", 1573967447000, session_exit, ""
1335, "rstudio", 1573967448000, session_start, ""
1659, "rstudio", 1573968314000, session_start, ""
1712, "rstudio", 1573968331000, session_start, ""
1659, "rstudio", 1573987144000, session_suspend, "120"
1712, "rstudio", 1573987144000, session_suspend, "120"
1659, "rstudio", 1573987144000, session_exit, ""
1712, "rstudio", 1573987144000, session_exit, ""
1962, "rstudio", 1573988342000, session_start, ""
1962, "rstudio", 1573988659000, session_quit, ""
1962, "rstudio", 1573988659000, session_exit, ""
2021, "rstudio", 1573988670000, session_start, ""
2021, "rstudio", 1573989197000, session_suspend, ""
2021, "rstudio", 1573989197000, session_exit, ""
2214, "rstudio", 1573989197000, session_start, ""
2214, "rstudio", 1573989219000, session_quit, ""
2214, "rstudio", 1573989219000, session_exit, ""
2258, "rstudio", 1573989226000, session_start, ""
2258, "rstudio", 1573989228000, session_quit, ""
2258, "rstudio", 1573989228000, session_exit, ""
2325, "rstudio", 1573989229000, session_start, ""
2325, "rstudio", 1573990081000, session_quit, ""
2325, "rstudio", 1573990081000, session_exit, ""
1512, "rstudio", 1573990085000, auth_logout, ""
1512, "daveh", 1573990094000, auth_login, ""
3599, "daveh", 1573990095000, session_start, ""
3599, "daveh", 1573990233000, session_quit, ""
3599, "daveh", 1573990233000, session_exit, ""
3710, "daveh", 1573990234000, session_start, ""
3710, "daveh", 1573997165000, session_quit, ""
3710, "daveh", 1573997165000, session_exit, ""
3873, "daveh", 1573997167000, session_start, ""
3873, "daveh", 1573997247000, session_quit, ""
3873, "daveh", 1573997247000, session_exit, ""
3991, "daveh", 1573997248000, session_start, ""
5283, "daveh", 1573998720000, session_start, ""
5283, "daveh", 1573998728000, session_suspend, ""
5283, "daveh", 1573998728000, session_exit, ""
5336, "daveh", 1573998729000, session_start, ""
5556, "daveh", 1573998775000, session_start, ""
5556, "daveh", 1574001773000, session_quit, ""
5556, "daveh", 1574001773000, session_exit, ""
5905, "daveh", 1574001775000, session_start, ""
5905, "daveh", 1574001857000, session_quit, ""
5905, "daveh", 1574001857000, session_exit, ""
5963, "daveh", 1574001858000, session_start, ""
5963, "daveh", 1574001892000, session_quit, ""
5963, "daveh", 1574001892000, session_exit, ""
6048, "daveh", 1574001892000, session_start, ""
6048, "daveh", 1574001901000, session_quit, ""
6048, "daveh", 1574001901000, session_exit, ""
6103, "daveh", 1574001902000, session_start, ""
6177, "daveh", 1574001911000, session_start, ""
6177, "daveh", 1574001917000, session_quit, ""
6177, "daveh", 1574001917000, session_exit, ""
6207, "daveh", 1574001918000, session_start, ""
6207, "daveh", 1574001992000, session_quit, ""
6207, "daveh", 1574001992000, session_exit, ""
6290, "daveh", 1574001993000, session_start, ""
