session_id, project, pid, username, timestamp, type, data
f638f4fa, "~/db-dashboard", 1121, "rstudio", 1573967276648, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\n"
f638f4fa, "~/db-dashboard", 1121, "rstudio", 1573967342182, prompt, "> "
701aebd3, "", 1264, "rstudio", 1573967366208, prompt, "> "
701aebd3, "", 1264, "rstudio", 1573967399560, input, "test this"
701aebd3, "", 1264, "rstudio", 1573967366712, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\nError: unexpected symbol in ""test this""\n"
701aebd3, "", 1264, "rstudio", 1573967399567, prompt, "> "
701aebd3, "", 1264, "rstudio", 1573967420154, input, "library(shiny); runApp('db-dashboard/local/local_app.R')"
701aebd3, "", 1264, "rstudio", 1573967420711, error, "\nAttaching package: ‘shinydashboard’\n\nThe following object is masked from ‘package:graphics’:\n\n    box\n\n\nAttaching package: ‘dplyr’\n\nThe following objects are masked from ‘package:stats’:\n\n    filter, lag\n\nThe following objects are masked from ‘package:base’:\n\n    intersect, setdiff, setequal, union\n\n\nAttaching package: ‘rlang’\n\nThe following objects are masked from ‘package:purrr’:\n\n    %@%, %||%, as_function, flatten, flatten_chr, flatten_dbl, flatten_int, flatten_lgl, invoke,\n    list_along, modify, prepend, rep_along, splice\n\n\nAttaching package: ‘DT’\n\nThe following objects are masked from ‘package:shiny’:\n\n    dataTableOutput, renderDataTable\n\n\nListening on http://127.0.0.1:4414\n\n\n"
701aebd3, "", 1264, "rstudio", 1573967427298, prompt, "> "
701aebd3, "", 1264, "rstudio", 1573967430703, input, "x = 1"
701aebd3, "", 1264, "rstudio", 1573967430707, prompt, "> "
701aebd3, "/home/publisher/wed_0605", 1335, "rstudio", 1573967449598, prompt, "> "
a78acd9e, "", 1712, "rstudio", 1573968331855, prompt, "> "
701aebd3, "/home/publisher/wed_0605", 1659, "rstudio", 1573968315338, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\n"
a78acd9e, "", 1712, "rstudio", 1573968332644, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\n"
a78acd9e, "", 1962, "rstudio", 1573988343902, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\n"
701aebd3, "/home/publisher/wed_0605", 2021, "rstudio", 1573988671272, prompt, "> "
701aebd3, "/home/publisher/wed_0605", 2021, "rstudio", 1573988671812, error, "WARNING: Your CRAN mirror is set to ""http://localhost:5000/packages/cran/latest/"" which has an insecure (non-HTTPS) URL. You should either switch to a repository that supports HTTPS or change your RStudio options to not require HTTPS downloads.\n\nTo learn more and/or disable this warning message see the ""Use secure download method for HTTP"" option in Tools -> Global Options -> Packages.\n"
701aebd3, "/home/publisher/wed_0605", 2021, "rstudio", 1573989197335, output, "\nRestarting R session...\n\n"
f638f4fa, "~/db-dashboard", 2258, "rstudio", 1573989227937, prompt, "> "
f638f4fa, "/home/publisher/wed_0605", 2325, "rstudio", 1573989230606, prompt, "> "
f638f4fa, "/home/publisher/wed_0605", 2325, "rstudio", 1573989247309, input, "install.packages(c(""DT"", ""plotly"", ""tidyverse""))"
f638f4fa, "/home/publisher/wed_0605", 2325, "rstudio", 1573989247737, output, "Warning in install.packages :\n  unable to access index for repository http://localhost:5000/packages/internal/latest/src/contrib:\n  cannot open URL 'http://localhost:5000/packages/internal/latest/src/contrib/PACKAGES'\n"
f638f4fa, "/home/publisher/wed_0605", 2325, "rstudio", 1573989248173, error, "Installing packages into ‘/home/rstudio/R/x86_64-pc-linux-gnu-library/3.5’\n(as ‘lib’ is unspecified)\n"
f638f4fa, "/home/publisher/wed_0605", 2325, "rstudio", 1573989248585, output, "Warning in install.packages :\n  unable to access index for repository http://localhost:5000/packages/internal/latest/src/contrib:\n  cannot open URL 'http://localhost:5000/packages/internal/latest/src/contrib/PACKAGES'\n"
